2016-02-05	26840489,26841432,26839247,26832396,26840156,26829318,26824625,26840174,26829317,26839413,26829649,26839177,26837755,26839406,26840090,26841430,26840485,26837467,26837003,26814963
2016-02-06	26840489,26841432,26842033,26839247,26829318,26840156,26832396,26824625,26840174,26829317,26839413,26828088,26829649,26839177,26842604,26837755,26839406,26840090,26834413,26841430
2016-02-07	26849762,26840489,26842033,26841432,26832396,26839247,26840156,26829318,26824625,26840174,26829317,26839413,26828088,26842604,26839177,26829649,26837755,26839406,26834413,26840090
2016-02-08	26842033,26849762,26840489,26842604,26841432,26845405,26845534,26839247,26840156,17540228,26824625,26832396,26829318,26849748,24149212,26834413,26848089,26840174,26829317,26839413
2016-02-09	26849762,26842033,26850641,9667398,26849748,26851532,26848089,381941,26850642,26848154,26847266,26850639,26852189,26852120,26849523,26842604,26840489,26851185,26852249,26852158
2016-02-10	26854199,26849762,26852727,26854237,25905251,26842033,26855422,26855148,26850641,9667398,26849748,26851532,26855149,26848089,381941,26853923,26854805,26847266,26850642,26848154
2016-02-11	26858352,26854199,26857072,26849762,26852727,26854237,26858453,25905251,26862926,26858259,26859285,26842033,26856896,26859684,26855422,25943411,26857844,26859881,26855148,26858408
2016-02-12	26862926,26862812,26863187,26858352,26854199,26860437,26860150,26863196,26849762,26857072,26852727,26858453,26854237,26863600,25905251,26863524,26858259,26859285,26856896,26842033
2016-02-13	26862926,26862812,26863187,26858352,26854199,26860437,26860150,26863196,26863524,26852727,26857072,26854237,26849762,26858453,26863600,25905251,26863192,26858259,26859285,26863354
2016-02-14	26862926,26862812,26871621,26869148,26863187,26858352,26864203,26854199,26860437,26860150,26863196,26857072,26863524,26858453,26849762,26852727,26854237,26863600,25905251,26858259
2016-02-15	26862926,26862812,26871621,26869148,26863187,26858352,26864203,26865554,26852886,26865019,26854199,26860437,26860150,26866840,26871632,26863196,26863524,26849762,26857072,26863600
2016-02-16	26871621,26862926,26871627,26865554,26864203,26862812,26866840,26871637,26863982,26871632,26867199,26869148,26871635,26871633,26866485,26875203,26869611,26871629,26871630,26868672
2016-02-17	26871621,26862926,26871627,26878238,26878679,26876061,26865554,26864203,26878675,26862812,26866840,26871637,26863982,26871632,26869148,26867199,26871635,26866485,26871633,26875203
2016-02-18	26871621,26862926,26878238,26876061,26871627,26878679,26875867,26878724,26877224,26878675,26876650,26862812,26865554,26864203,21874737,26866840,26871637,26863982,26876920,26878240
2016-02-19	26882076,26886798,26886796,26884455,26886794,26886799,26885860,26887054,26879140,26887046,26886800,26882445,26883990,26882551,26871621,26886521,26884195,26884166,26885978,26862926
2016-02-20	26882076,26886798,26891166,26890059,26886796,26888897,26884455,26886794,26886799,26889662,26885860,26890470,26887054,26879140,26887046,26886800,26882445,26885978,26883990,26882551
2016-02-21	26882076,26891166,26886798,26890059,26888897,26886796,26884455,26886794,26886799,26889662,26885860,26890470,26887054,26879140,26887046,26886800,26882445,26885978,26883990,26889605
2016-02-22	26891166,26890059,26888897,26889662,26890470,26887495,26889605,26887506,26897108,26882076,26886798,26886796,26884455,26886794,26886799,26885860,26892436,26887054,26879140,26887046
2016-02-23	26897108,26897106,26891166,26890059,26888897,26896675,26896047,26889662,26890470,26893169,26895815,26892225,26897752,26896565,26892436,26897751,26895850,26887495,26889605,26894958
2016-02-24	26897108,26897106,26891166,26890059,26888897,26896675,26896047,26889662,26890470,26893169,26895815,26892225,26897752,26896565,26892436,26897751,26895850,26887495,26889605,26894958
2016-02-25	26903338,26903610,26897108,26900663,26903336,26902283,26900662,26903031,26903281,26903600,26897106,26898331,26891166,26890059,26901275,26888897,26897760,26901407,26475939,26903335
2016-02-26	26475939,26903338,26903610,26897108,26900663,26903336,26902283,26900662,26903031,26903281,26903600,26897106,26898331,26901275,26903335,26891166,26897760,26901407,26890059,26904696
2016-02-27	26909576,26475939,26903338,26903610,26897108,26914330,26914317,26914537,26909534,26910464,26900663,26903336,26912905,26912499,26902283,26915032,26912385,26900662,26903031,26903281
2016-02-28	26917774,26919428,26919405,26916719,26909576,26475939,26917594,26903338,26903610,26897108,26914330,26914317,26914537,26909534,26910464,26900663,26903336,26912385,26912905,26902283
2016-02-29	26909576,26917774,26918277,26914317,26909534,26914537,26914330,26910464,26919428,26919405,26912905,26912859,26915032,26916719,26914735,26475939,26912385,26917594,26903338,26912499
2016-03-01	26919428,26918277,26909576,26921241,26917594,26922439,26916719,26921617,26919435,26921737,26920219,26922661,26914317,26917774,26909534,26914537,26917756,26921872,26914330,26910464
2016-03-02	26919428,26923117,26803393,26918277,26909576,26923600,26921241,26924382,26924689,26917594,26924761,26922439,26923098,26916719,26921617,26919435,26917774,26921737,26920219,26922661
2016-03-03	26919428,26925496,26923117,26803393,26918277,26927699,26909576,26927450,26923600,26924382,26921241,26927092,26928065,26924689,26924761,26917594,26922439,26929348,26923098,26928735
2016-03-04	26919428,26925496,26923117,26918277,26927699,26803393,26927450,26909576,26929348,26921241,26923600,26924382,26928937,26927092,26917594,26922439,26928065,26924689,26924761,26930076
2016-03-05	26919428,26925496,26923117,26803393,26927699,26918277,26927450,26923600,26909576,26929348,26924382,26921241,26924689,26928937,26927092,26924761,26928065,26917594,26922439,26923098
2016-03-06	26940869,26943629,26934549,26941318,26938449,26939047,26937001,26925496,26919428,26923117,26927699,26803393,26918277,26927450,26909576,26929348,26923600,26921241,26924382,26928937
2016-03-07	26940869,26943629,26934549,26941318,26938449,26944272,26939047,26940504,26937001,26941134,26935695,26919428,26943916,26932769,26925496,26941311,26942903,26923117,26918277,26803393
2016-03-08	26940869,26943629,26944272,26939047,26940504,26945042,26944581,26945465,26935695,26941134,25847280,26941323,26942903,26944793,26936508,26944856,26934549,26934531,26944679,26945113
